 ,background,aeroplane,bicycle,bird,boat,bottle,bus,car,cat,chair,cow,diningtable,dog,horse,motorbike,person,pottedplant,sheep,sofa,train,tvmonitor
background,173312030,158437,939863,126758,333967,416358,162312,142899,169109,549424,132439,255923,226101,100401,226504,630628,370238,98734,754642,184161,255270
aeroplane,51442,1854705,0,0,17663,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
bicycle,47939,0,747275,0,0,0,0,1087,6,0,0,0,0,0,4501,12029,0,0,0,0,0
bird,139518,0,0,1998579,50,29,58,0,1917,0,2395,0,2293,36,0,2761,0,4181,0,0,68
boat,111746,13252,0,0,1196105,0,0,0,0,0,0,15358,0,0,0,2936,4854,0,0,4402,0
bottle,86729,202,1619,0,5096,1800955,635,64,1,0,0,7233,225,0,0,18171,0,0,847,0,0
bus,85755,1858,0,0,880,0,4224757,5034,0,0,0,0,0,0,0,2468,0,0,0,0,0
car,199342,1736,8051,0,3900,3530,11555,3333528,0,0,278,0,93,0,4011,5467,0,0,0,21955,8
cat,102020,0,0,0,0,278,0,0,5540730,1607,0,137,65521,0,0,8071,0,0,2583,0,4
chair,442672,0,0,0,18,12,0,324,4784,1173746,0,56342,3009,0,1430,30711,5206,0,395622,0,317
cow,40743,0,0,1096,0,0,0,2769,0,0,2876897,0,21156,18671,0,4369,0,1143,0,0,0
diningtable,878948,0,0,0,0,6289,0,0,287,72286,0,1861374,58,0,0,21247,14903,0,2698,0,6660
dog,142619,0,0,504,351,0,0,1749,82972,597,0,0,4772502,3630,1067,8595,0,15812,3991,0,0
horse,90572,0,0,0,90,0,0,0,9365,0,56087,0,1428,2465914,0,14681,0,3800,0,0,0
motorbike,67734,158,7275,0,9017,4678,0,31461,0,0,0,0,0,0,2444681,22436,0,0,0,0,0
person,759754,10752,45956,5776,10841,20951,14712,18677,4993,29634,16328,19418,69429,43726,81905,11755623,8089,1444,68872,8893,3850
pottedplant,175402,0,821,2038,0,0,26,10,16,185,0,1919,0,0,0,852,1049637,0,3656,0,0
sheep,68175,0,0,0,0,0,0,0,5727,0,2871,0,35039,0,123,223,0,1820647,0,0,0
sofa,685202,0,0,0,0,208,0,0,2232,81424,0,5107,3489,0,28603,32677,1866,0,2638364,0,63
train,229012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,872,0,0,0,3689121,0
tvmonitor,269395,0,0,0,0,0,0,0,0,14222,0,0,0,0,0,43,0,0,34,0,1488060
